score	repo	issue	source	author	url	title	context
262	notnotmelon/factorissimo-2-notnotmelon	198	issue-body	mathlover3	https://github.com/user-attachments/files/20235792/factorysimo.bug.zip	blueprints of buildings not working correctly	t. **Screenshots** If applicable, add screenshots to help explain your problem. **Additional context** happens on a new save with no mods **Save file & log** Attach your save file and `factorio-current.log` file. [factorysimo bug.zip](https://github.com/user-attachments/files/20235792/factorysimo.bug.zip) on the save just edit the inside of the building and place the test blueprint and see it copyed your changes. i cant upload the log but it doesnt seem to have anything useful anyways. 
262	notnotmelon/factorissimo-2-notnotmelon	217	issue-body	DisarmedSpy	https://github.com/user-attachments/files/21585839/Finally.zip	Crashes upon picking up building	terior' __factorissimo-2-notnotmelon__/script/factory-buildings.lua:481: in function '?' __factorissimo-2-notnotmelon__/lib/events.lua:25: in function <__factorissimo-2-notnotmelon__/lib/events.lua:23> **Save file & log** [Finally.zip](https://github.com/user-attachments/files/21585839/Finally.zip) [factorio-current.log](https://github.com/user-attachments/files/21585825/factorio-current.log) 
262	notnotmelon/factorissimo-2-notnotmelon	219	issue-body	Nakem86	https://github.com/user-attachments/files/21605175/da.zip	Crash when research is finished	certain number of things (electromagnetic science pack). **Save file & log** Attach your save file and `factorio-current.log` file. [factorio-current.log](https://github.com/user-attachments/files/21605171/factorio-current.log) [da.zip](https://github.com/user-attachments/files/21605175/da.zip)
262	notnotmelon/factorissimo-2-notnotmelon	225	issue-body	henriquegemignani	https://github.com/user-attachments/files/21866820/factorissimo.zip	Unable to leave factory building placed in Factorio 1.1 save	ovided save. **Expected behavior** You leave the building. **Screenshots** Video from a different save, but same bug. https://github.com/user-attachments/assets/dee904c0-e5e4-4da1-9345-40d66e82e5e8 **Save file & log** [factorissimo.zip](https://github.com/user-attachments/files/21866820/factorissimo.zip) 
262	notnotmelon/factorissimo-2-notnotmelon	227	issue-body	Jvs34	https://github.com/user-attachments/files/21964144/VESTAWHAT.zip	Factorissimo prevents building solar panels on Planet Vesta	 expects you to build solar to kickstart literally anything else, just like Aquilo, but without solar you're essentially softlocked unless you have other means of easy power generations from other mods. **Save file & log** [VESTAWHAT.zip](https://github.com/user-attachments/files/21964144/VESTAWHAT.zip)
262	notnotmelon/factorissimo-2-notnotmelon	228	issue-body	Neb2566	https://github.com/user-attachments/files/21980436/Bugreport.zip	Cannot paste blueprint from different game.	 and pasting withing the same game. **Screenshots** https://imgur.com/a/KWHTl4F (Error message ingame) **Save file & log** [factorio-current.log](https://github.com/user-attachments/files/21980432/factorio-current.log) [Bugreport.zip](https://github.com/user-attachments/files/21980436/Bugreport.zip) Test blueprint is saved in inventory
262	notnotmelon/factorissimo-2-notnotmelon	229	issue-body	Metallonality	https://github.com/user-attachments/files/22062873/12.zip	Items from factory chest periodically sent outside	"tory **Additional context** Obvious that i'm not playing with ""pure"" factorissimo 3. But earlier i haven't met with such a problem [factorio-current.log](https://github.com/user-attachments/files/22062872/factorio-current.log) [12.zip](https://github.com/user-attachments/files/22062873/12.zip)"
262	ClaudeMetz/FactoryPlanner	623	comment-3376017539	Heretikat	https://github.com/user-attachments/files/22740131/Amberkrast.zip	Linearly dependent recipes	[Amberkrast.zip](https://github.com/user-attachments/files/22740131/Amberkrast.zip) However, I still have the following issue. This is not the actual savegame, but it's too big to upload, so here is a MUCH earlier version of the same save, but it has the same mods/settings and produces the same error. I remember being 
262	notnotmelon/factorissimo-2-notnotmelon	249	issue-body	ru-do1	https://github.com/user-attachments/files/23161634/K_warp_out.1.zip	Broken belt connections	ile *dimensional warp* repeatedly creates and destroys surfaces of planet and clones buildings in that process, the factory was used on a stable constant surface (smeltus) not modified during warps. Save file attached: [K_warp_out.1.zip](https://github.com/user-attachments/files/23161634/K_warp_out.1.zip) 
262	ClaudeMetz/FactoryPlanner	673	issue-body	maritz	https://github.com/user-attachments/files/23529570/broken_factory_planer_repair.zip	Trying to repair old factory floors crashes game	"3: in function <__factoryplanner__/ui/event_handler.lua:121> ``` Log: [factorio-current.log](https://github.com/user-attachments/files/23529488/factorio-current.log) ### Reproduction 1) Load save file [broken_factory_planer_repair.zip](https://github.com/user-attachments/files/23529570/broken_factory_planer_repair.zip) 2) Open factory planner 3) Click on any of ""Energy Research"", ""New Copper Block"", ""Energy 2"", ""Energy Reasearch 3 & 4"", ""Bio Science"", ""Bio Science 3 & 4 (&end of 2)"", ""Significant data"" or ""Biosludge"" floor 4) Click on ""Repair"" button Al"
